Faction,Class,KB,D,HK,DD,HD,Rol
Horde,Warlock,3,0,20,71472,17020,dps
Alliance,Paladin,0,2,1,0,56983,heal
Alliance,Warlock,3,3,9,96378,29466,dps
Horde,Warrior,5,2,14,49937,14438,dps
Horde,Paladin,4,1,21,69992,25463,dps
Alliance,Priest,1,2,5,27113,77543,heal
Alliance,Druid,0,4,3,3724,6158,heal
Horde,Demon Hunter,4,2,21,40051,6659,dps
Alliance,Warrior,1,2,3,17515,410,dps
Horde,Demon Hunter,1,1,21,26795,1614,dps
Horde,Death Knight,1,0,14,17038,11942,dps
Horde,Hunter,0,0,14,31409,2725,dps
Horde,Paladin,2,0,21,27294,15874,dps
Horde,Warrior,6,1,16,23478,2245,dps
Horde,Warrior,6,1,18,26419,5497,dps
Horde,Paladin,2,0,21,1838,52741,heal
Alliance,Paladin,0,2,3,55422,11236,dps
Horde,Shaman,0,0,15,8015,64070,heal
Horde,Warrior,1,2,14,23118,2056,dps
Horde,Demon Hunter,1,0,21,21644,10471,dps
Horde,Warrior,1,0,9,9409,1033,dps
Alliance,Hunter,1,1,3,8058,2416,dps
Alliance,Rogue,0,1,2,4373,1069,dps
Alliance,Hunter,1,1,1,6121,1327,dps
Alliance,Monk,1,5,3,31448,14585,dps
Alliance,Hunter,0,6,4,31924,5502,dps
Horde,Warrior,3,4,8,38457,5352,dps
Alliance,Druid,3,4,28,34703,6249,dps
Horde,Warrior,1,5,9,31721,1171,dps
Horde,Rogue,1,4,8,29680,10595,dps
Horde,Shaman,0,7,8,14569,64481,heal
Horde,Rogue,1,4,9,27807,1661,dps
Horde,Priest,1,5,9,24202,63842,heal
Horde,Priest,0,3,8,13578,6885,dps
Alliance,Priest,6,2,25,85170,22911,dps
Horde,Druid,1,0,7,23191,10470,dps
Alliance,Warrior,1,0,16,10206,1572,dps
Alliance,Warrior,12,0,36,41656,3957,dps
Horde,Rogue,1,4,8,30254,9574,dps
Horde,Hunter,0,1,7,21819,1979,dps
Alliance,Paladin,0,0,21,7749,52641,heal
Alliance,Mage,4,0,20,39708,409,dps
Alliance,Warrior,3,1,25,13093,174,dps
Alliance,Warlock,4,0,36,75698,14705,dps
Alliance,Warrior,4,1,36,63787,7516,dps
